,City,Neighborhood,Studio,1BR,2BR,Budget,Locations,0_l-1,0_l-2,0_l-3,dem-1,dem-2,dem-3,dem-4,dem-5,dem-6,dem-7,dem-8,dem-9,dem-10,eng-1,eng-2,eng-3,eng-4,env-1,env-2,env-3,env-4,hea-1,hea-2,hea-3,hea-4,hea-5,liv-1,liv-2,liv-3,liv-4,liv-5,liv-6,liv-7,nei-1,nei-2,nei-3,nei-4,nei-5,nei-6,nei-7,nei-8,nei-9,opp-1,opp-2,opp-3,opp-4,tra-1,tra-2,tra-3,tra-4,tra-5,tra-6,tra-7
0,"Boston, MA",Allston,,1875,2600,Cheap,"Allston, Boston, MA",42.3539038,"Allston, Boston, MA",-71.1337112,79,37981,11,0,14,10,12,31,32,1496,96,0.087,7.208,0.974,0.333,0,0,46.5,99.6,0,19.8,49.93,19.1,57,61,70,50,78,23,87,17,1,2,26458,223696,357,0.758,54369,23.7,0.55,71,0.533,0.873,78.2,34.683,2.487,294,9816,25.46,1.47
1,"Boston, MA",Back Bay East,,2850,4950,Pricey,"Back Bay East, Boston, MA",42.3521337,"Back Bay East, Boston, MA",-71.0780044,79,103681,35,14,0,11,12,6,6,854,17.9,0.082,7.208,0.974,0.333,0,0,19.8,99.6,0,17.2,49.93,10,48,66,81,43,82,35,97,11,1,3,42388,252894,357,0.902,102872,16.9,0.808,71,0.533,0.873,78.2,34.683,2.783,223,8428,26.78,2.31
2,"Boston, MA",Back Bay West,,2675,,Pricey,"Back Bay West, Boston, MA",42.3494093,"Back Bay West, Boston, MA",-71.0898892,79,92500,28,12,4,8,12,7,29,1421,58.3,0.08,7.208,0.974,0.333,0,0,100,99.6,0,15.5,49.93,14.2,52,48,78,41,74,30,84,10,0,3,47203,274294,357,0.908,91593,14,0.71,71,0.533,0.873,78.2,34.683,2.651,214,7670,38.82,1.88
3,"Boston, MA",Bay Village,,3900,6565,Pricey,"Bay Village, Boston, MA",42.3489568,"Bay Village, Boston, MA",-71.0698335,79,192763,48,32,0,15,12,0,12,784,70.2,0.084,7.208,0.974,0.333,0,0,31.2,99.6,0,18.8,49.93,12,54,64,77,64,77,22,98,19,0,7,67268,275390,357,0.885,112610,17.9,0.534,71,0.533,0.873,78.2,34.683,2.685,279,8988,26.38,4.06
4,"Boston, MA",Beacon Hill,,2395,2950,Average,"Beacon Hill, Boston, MA",42.3587999,"Beacon Hill, Boston, MA",-71.0707389,79,103281,37,17,0,8,12,0,5,959,49.8,0.083,7.208,0.974,0.333,0,0,100,99.6,0,17,49.93,8.4,52,48,83,43,85,37,99,9,1,7,49891,280554,357,0.9,87103,6.8,0.84,71,0.533,0.873,78.2,34.683,2.628,63.333,7479,25.95,4.64
5,"Boston, MA",Blue Hills Reservation,,2145,2540,Average,"Blue Hills Reservation, Boston, MA",42.215952,"Blue Hills Reservation, Boston, MA",-71.0676048,81,67188,31,15,11,18,10,2,13,2059,0,0.175,6.732,0.974,2.333,8.2,5.09E-09,8,95.7,0,23.3,56.542,17.2,53,22,60,34,62,71,27,0,0,1,465,142967,140,0.877,8114,3.4,0.974,90,0.475,0.873,78.3,34.683,4.904,0,13880,42.15,0.49
6,"Boston, MA",Brighton,1625,1875,2360,Cheap,"Brighton, Boston, MA",42.3463503,"Brighton, Boston, MA",-71.1626756,79,71863,32,10,11,31,12,1,6,1841,69.7,0.1,7.208,0.974,0.333,0,0,0,99.6,0,18.7,49.93,15.2,55,82,74,44,77,35,59,5,1,5,12647,140477,357,0.541,15540,3.5,0.803,71,0.533,0.873,78.2,34.683,1.768,0,11215,26.01,0.79
7,"Boston, MA",Brookline,,2398,2688,Average,"Brookline, Boston, MA",42.3317642,"Brookline, Boston, MA",-71.1211635,81,126207,22,4,1,12,10,8,4,1484,89.3,0.083,6.732,0.974,2.333,8.2,0,77.7,95.7,0,19.9,49.93,16.2,65,33,69,34,83,63,84,6,1,9,27181,162041,140,0.529,44268,11.8,0.857,92,0.475,0.873,78.3,34.683,2.466,119,10272,27.06,1.69
8,"Boston, MA",Burlington,,2000,,Cheap,"Burlington, Boston, MA",42.5047161,"Burlington, Boston, MA",-71.1956205,81,85859,31,12,0,11,9,10,7,2964,90.9,0.363,6.51,0.974,0.333,11.3,0,0,96.6,0,22.2,52.16,15.8,73,63,65,38,69,66,44,1,1,3,2642,106705,160,0.797,0,10.2,0.881,93,0.473,0.873,78.2,34.683,3.282,0,13818,26.17,0.53
9,"Boston, MA",Cambridgeport,,2903,,Pricey,"Cambridgeport, Boston, MA",42.358302,"Cambridgeport, Boston, MA",-71.1095995,81,89844,14,4,8,10,9,15,11,1757,46.6,0.08,6.51,0.974,0.333,11.3,0,0,96.6,0,21.2,33.879,10.9,58,63,74,52,83,62,91,9,1,6,29193,217711,160,0.512,73534,8.8,0.847,92,0.473,0.873,78.2,34.683,2.573,107,9037,25.27,2.06
10,"Boston, MA",Chinatown - Leather District,,2963,,Pricey,"Chinatown - Leather District, Boston, MA",42.3504906,"Chinatown - Leather District, Boston, MA",-71.0579481,79,144219,21,4,0,31,12,4,13,658,17.4,0.087,7.208,0.974,0.333,0,8.48E-09,86.5,99.6,0,16.8,49.93,12.7,49,27,78,49,75,45,74,36,0,6,14672,299025,357,0.894,131794,24.9,0.934,71,0.533,0.873,78.2,34.683,2.619,330,9646,34.26,1.06
11,"Boston, MA",Columbus,,2600,3200,Average,"Columbus, Boston, MA",42.3442847,"Columbus, Boston, MA",-71.0772616,79,92396,35,9,28,8,12,13,11,1188,32.5,0.083,7.208,0.974,0.333,0,0,0,99.6,0,21.5,49.93,13.9,50,82,73,56,88,41,100,19,1,9,48218,223122,357,0.935,93558,3.2,0.883,71,0.533,0.873,78.2,34.683,2.605,271,8192,25.87,2.88
12,"Boston, MA",D Street - West Broadway,2760,3232,3907,Pricey,"D Street - West Broadway, Boston, MA",42.340677,"D Street - West Broadway, Boston, MA",-71.0485931,79,81627,23,7,1,4,12,4,4,2009,36.4,0.094,7.208,0.974,0.333,0,0.0014858,20,99.6,0,17.1,49.93,11.6,51,61,79,45,63,30,72,3,0,0,11269,239366,357,0.831,47301,10.3,0.706,71,0.533,0.873,78.2,34.683,2.656,15,9644,29.31,1.25
13,"Boston, MA",Davis Square,,2250,,Average,"Davis Square, Boston, MA",42.3967172,"Davis Square, Boston, MA",-71.1223151,81,107727,26,8,1,1,9,2,11,969,100,0.09,6.51,0.974,0.333,11.3,0,0,96.6,0,19.4,55.727,11.2,64,63,69,42,83,46,82,9,1,2,27565,146286,160,0.824,56842,5.2,0.736,81,0.473,0.873,78.2,34.683,2.259,281,10336,25.95,1.27
14,"Boston, MA",Downtown Boston,2838,3355,4541,Pricey,"Downtown Boston, Boston, MA",42.3557089,"Downtown Boston, Boston, MA",-71.0572053,79,96115,41,1,15,48,12,3,0,485,47,0.086,7.208,0.974,0.333,0,0,51.7,99.6,0,16.8,49.93,12.7,52,60,78,31,74,31,85,40,0,8,36625,338287,357,0.846,126707,51,0.726,71,0.533,0.873,78.2,34.683,2.546,462,13820,29.11,6.38
15,"Boston, MA",East Boston,,1774,2200,Cheap,"East Boston, Boston, MA",42.3702137,"East Boston, Boston, MA",-71.0388601,79,71250,26,1,9,2,12,66,10,495,63.1,0.095,7.208,0.974,0.333,0,0,55.8,99.6,0,30.9,49.93,25.3,54,59,58,61,81,23,92,33,1,5,28388,195403,357,0.607,65538,10.8,0.551,71,0.533,0.873,78.2,34.683,2.41,162,9085,26.27,1.99
16,"Boston, MA",East Cambridge,,3080,3555,Pricey,"East Cambridge, Boston, MA",42.3686043,"East Cambridge, Boston, MA",-71.0773939,81,87639,46,19,5,11,9,6,7,1405,51.1,0.082,6.51,0.974,0.333,11.3,7.11E-05,80.4,96.6,0,20.1,33.879,11.4,58,33,74,46,80,56,85,1,1,5,23251,243070,160,0.775,58654,15.2,0.747,92,0.473,0.873,78.2,34.683,2.477,109,9657,27.34,1.82
17,"Boston, MA",Harrison Lenox,,2875,3400,Pricey,"Harrison Lenox, Boston, MA",42.3368621,"Harrison Lenox, Boston, MA",-71.0720619,79,21250,37,27,22,31,12,7,30,1308,59.6,0.085,7.208,0.974,0.333,0,0,10,99.6,0,23.3,49.93,16.2,53,69,70,58,87,33,92,17,1,9,41022,238809,357,0.914,93699,4.4,0.767,71,0.533,0.873,78.2,34.683,2.576,351,8252,25,1.36
18,"Boston, MA",Malden,1500,1675,2100,Cheap,"Malden, Boston, MA",42.4250964,"Malden, Boston, MA",-71.066163,81,21000,23,14,2,31,9,2,33,741,40.5,0.113,6.51,0.974,0.333,11.3,9.56E-08,0,96.6,0,22.2,65.184,15.8,57,28,60,59,84,52,75,15,1,5,12183,147510,160,0.835,40756,8.3,0.837,80,0.473,0.873,78.2,34.683,2.508,174,10272,26.75,0.9
19,"Boston, MA",Mid-Cambridge,2030,2300,2725,Average,"Mid-Cambridge, Boston, MA",42.3723884,"Mid-Cambridge, Boston, MA",-71.1062302,81,108846,30,7,0,4,9,4,5,2035,0,0.081,6.51,0.974,0.333,11.3,0,0,96.6,0,21,33.879,11.2,46,63,74,44,85,64,77,12,1,3,51813,151696,160,0.785,51081,6.4,0.873,92,0.473,0.873,78.2,34.683,2.253,126,9833,25.84,0.95
20,"Boston, MA",Mission Hill,,2250,2598,Average,"Mission Hill, Boston, MA",42.329617,"Mission Hill, Boston, MA",-71.1062302,79,55833,17,9,10,9,12,14,35,1656,0,0.084,7.208,0.974,0.333,0,0,0,99.6,0,21,49.93,14.6,40,82,73,56,81,34,70,14,1,8,32754,148581,357,0.52,41762,3.4,0.787,71,0.533,0.873,78.2,34.683,2.63,30.333,9975,25.18,0.68
21,"Boston, MA",Neighborhood Nine,,2478,2900,Average,"Neighborhood Nine, Boston, MA",42.3863884,"Neighborhood Nine, Boston, MA",-71.1269712,81,61151,27,10,42,13,9,2,18,2250,37.7,0.09,6.51,0.974,0.333,11.3,0,0,96.6,0,23,33.879,11.1,58,63,72,57,90,56,57,5,1,6,24571,130387,160,0.919,34289,0,0.737,92,0.473,0.873,78.2,34.683,2.375,0,13820,25,1.19
22,"Boston, MA",Newton Center,,1938,2400,Cheap,"Newton Center, Boston, MA",42.3300503,"Newton Center, Boston, MA",-71.1948255,81,116786,39,12,3,11,9,4,14,1626,96.2,0.137,6.51,0.974,0.333,11.3,0,22.2,96.6,0,20.2,49.93,9.1,66,47,76,30,69,80,55,0,0,2,8227,159548,160,0.829,19575,1.7,0.967,97,0.473,0.873,78.2,34.683,1.995,1.667,12692,27.11,0.72
23,"Boston, MA",North Cambridge,,2749,3382,Pricey,"North Cambridge, Boston, MA",42.3933869,"North Cambridge, Boston, MA",-71.1308572,81,89357,38,11,2,6,9,8,0,1031,3.5,0.09,6.51,0.974,0.333,11.3,0,0,96.6,0,20.4,33.879,10.5,52,63,75,39,86,63,80,11,1,5,17275,116513,160,0.925,47376,2.5,0.862,92,0.473,0.873,78.2,34.683,2.377,147,10395,25,1.19
24,"Boston, MA",North End,,2400,2830,Average,"North End, Boston, MA",42.3647024,"North End, Boston, MA",-71.0542339,79,70234,18,10,1,5,12,1,6,1471,0,0.086,7.208,0.974,0.333,0,0,64.1,99.6,0,17.7,49.93,13.6,40,58,77,50,86,28,100,14,1,14,78248,224598,357,0.809,77955,9.1,0.67,71,0.533,0.873,78.2,34.683,2.586,77.333,7416,26.38,12.85
25,"Boston, MA",Oak Square,,1775,2200,Cheap,"Oak Square, Boston, MA",42.3529759,"Oak Square, Boston, MA",-71.159705,79,90000,36,8,0,2,12,5,13,650,100,0.093,7.208,0.974,0.333,0,0,0,99.6,0,21.2,49.93,17.7,59,82,70,37,85,43,77,5,1,9,18566,140469,357,0.706,28223,0,0.911,71,0.533,0.873,78.2,34.683,1.959,32,10878,26.5,1.35
26,"Boston, MA",Prudential - St. Botolph,,3270,6288,Pricey,"Prudential - St. Botolph, Boston, MA",42.3471679,"Prudential - St. Botolph, Boston, MA",-71.0802329,79,87917,42,24,2,6,12,2,12,1450,61.6,0.081,7.208,0.974,0.333,0,0,91.6,99.6,0,18.2,49.93,10.6,53,52,79,46,83,34,87,15,1,3,89652,259726,357,0.914,109581,17.2,0.782,71,0.533,0.873,78.2,34.683,2.64,417,8620,32.38,1.71
27,"Boston, MA",Quincy,,1595,2200,Cheap,"Quincy, Boston, MA",42.2528772,"Quincy, Boston, MA",-71.0022705,81,63875,20,3,4,38,10,4,2,1254,0,0.218,6.732,0.974,2.333,8.2,0,26.9,95.7,0,21.1,56.542,15.6,55,41,63,50,82,54,71,8,1,3,26265,114215,140,0.828,33399,14.3,0.771,90,0.475,0.873,78.3,34.683,4.906,239,10594,26.39,0.86
28,"Boston, MA",Roxbury,,1850,2650,Cheap,"Roxbury, Boston, MA",42.3151978,"Roxbury, Boston, MA",-71.0913748,79,50698,33,1,46,0,12,41,41,391,0,0.089,7.208,0.974,0.333,0,0,0,99.6,0,35.7,49.93,21.4,41,82,58,91,84,44,88,11,1,3,23062,113796,357,0.728,33324,0,0.92,71,0.533,0.873,78.2,34.683,2.7,163,9781,25,1.66
29,"Boston, MA",Seaport District,,3292,4307,Pricey,"Seaport District, Boston, MA",42.3462441,"Seaport District, Boston, MA",-71.04211,79,81627,23,7,1,4,12,4,4,2009,36.4,0.094,7.208,0.974,0.333,0,0.0014858,20,99.6,0,17.1,49.93,11.6,51,61,79,45,63,30,72,3,0,0,11269,239366,357,0.831,47301,10.3,0.706,71,0.533,0.873,78.2,34.683,2.656,15,9644,29.31,1.25
30,"Boston, MA",Shawmut,,3145,3740,Pricey,"Shawmut, Boston, MA",42.3432703,"Shawmut, Boston, MA",-71.0713191,79,145865,26,7,4,30,12,2,6,1787,62.7,0.085,7.208,0.974,0.333,0,0,0,99.6,0,21.2,49.93,14.2,53,82,73,73,86,40,100,18,1,9,58614,236080,357,0.925,99344,12.7,0.879,71,0.533,0.873,78.2,34.683,2.635,237,8184,26.33,2.68
31,"Boston, MA",Somerville,1850,2000,2550,Cheap,"Somerville, Boston, MA",42.3875968,"Somerville, Boston, MA",-71.0994968,81,49031,23,8,6,15,9,9,26,1199,100,0.085,6.51,0.974,0.333,11.3,0,0,96.6,0,22.1,55.727,14.1,63,63,64,48,87,47,80,11,1,5,33090,169257,160,0.791,43596,1.6,0.744,81,0.473,0.873,78.2,34.683,2.357,147,9634,25.8,1.11
32,"Boston, MA",South Boston,2725,3175,3747,Pricey,"South Boston, Boston, MA",42.3381437,"South Boston, Boston, MA",-71.0475773,79,81627,23,7,1,4,12,4,4,2009,36.4,0.094,7.208,0.974,0.333,0,0.0014858,20,99.6,0,17.1,49.93,11.6,51,61,79,45,63,30,72,3,0,0,11269,239366,357,0.831,47301,10.3,0.706,71,0.533,0.873,78.2,34.683,2.656,15,9644,29.31,1.25
33,"Boston, MA",South End,,2950,3350,Pricey,"South End, Boston, MA",42.3388111,"South End, Boston, MA",-71.0765188,79,71181,23,6,15,10,12,16,21,2431,19.4,0.084,7.208,0.974,0.333,0,0,0,99.6,0,24,49.93,15.7,49,82,70,66,84,31,100,17,1,9,51366,198383,357,0.939,85488,17.7,0.722,71,0.533,0.873,78.2,34.683,2.552,427,7811,27.07,3.47
34,"Boston, MA",Spring Hill,,1950,2500,Cheap,"Spring Hill, Boston, MA",42.3857038,"Spring Hill, Boston, MA",-71.1077157,81,99185,22,11,0,19,9,6,10,894,100,0.084,6.51,0.974,0.333,11.3,0,0,96.6,0,22.1,55.727,14.1,63,63,64,45,82,42,82,12,0,6,19281,133831,160,0.857,41477,0,0.639,81,0.473,0.873,78.2,34.683,2.32,82,9483,25,1.24
35,"Boston, MA",Washington Square,,2255,2795,Average,"Washington Square, Boston, MA",42.3474685,"Washington Square, Boston, MA",-71.149032,79,14005,27,16,23,13,12,22,51,1357,0,0.087,7.208,0.974,0.333,0,0,0,99.6,0,21.8,49.93,18.3,40,82,69,100,82,50,75,10,1,6,44392,133692,357,0.734,26476,4.6,0.97,71,0.533,0.873,78.2,34.683,2.314,183,9606,26.02,0.62
36,"Boston, MA",Woburn,,1550,,Cheap,"Woburn, Boston, MA",42.4792618,"Woburn, Boston, MA",-71.1522765,81,63913,32,16,1,0,9,0,16,1157,93.3,0.262,6.51,0.974,0.333,11.3,0,0,96.6,0,22.2,56.169,15.8,70,63,65,55,81,50,67,8,1,1,8968,132575,160,0.865,14365,2.8,0.707,89,0.473,0.873,78.2,34.683,2.566,13.333,10856,25.51,0.93
37,"Chicago, IL",Albany Park,,1025,1413,Cheap,"Albany Park, Chicago, IL",41.9683269,"Albany Park, Chicago, IL",-87.7280279,78,83750,27,10,6,35,10,41,8,1461,95.2,0.082,5.387,0.934,11,1.2,0,0,99.2,0,25.4,54.349,19.2,37,56,56,59,72,40,99,10,0,4,52772,129253,311,0.864,19691,19.5,0.88,75,0.503,0.784,100,34.783,2.992,258,9544,25.11,1.59
38,"Chicago, IL",Bucktown,,1700,1800,Pricey,"Bucktown, Chicago, IL",41.9227067,"Bucktown, Chicago, IL",-87.6802748,78,80195,29,4,8,4,10,34,7,686,34.8,0.081,5.387,0.934,11,1.2,1.70E-10,88.4,99.2,14,20,54.349,12.5,31,17,56,41,73,33,69,5,0,3,14996,261884,311,0.837,34361,3.3,0.673,83,0.503,0.784,100,34.783,3.576,99,9685,47.22,1.05
39,"Chicago, IL",Central Chicago,1575,2575,3620,Pricey,"Central Chicago, Chicago, IL",41.8802802,"Central Chicago, Chicago, IL",-87.6235719,78,87250,24,5,12,10,10,4,6,1143,1.6,0.122,5.387,0.934,11,1.2,0,54.4,99.2,0,15.3,54.349,13.2,27,34,68,34,82,18,95,24,1,4,31147,372668,311,0.823,148415,37.9,0.572,62,0.503,0.784,100,34.783,5.082,1870,9947,28.37,1.55
40,"Chicago, IL",Chicago,,1750,2423,Pricey,"Chicago, Chicago, IL",41.8781136,"Chicago, Chicago, IL",-87.6297982,78,69030,16,3,5,21,10,4,17,2295,10.8,0.116,5.387,0.934,11,1.2,0,47.4,99.2,0,20.1,54.349,14.5,30,35,63,54,80,19,100,35,0,3,208520,551094,311,0.866,221882,15.2,0.595,62,0.503,0.784,100,34.783,4.799,1810,9149,30.57,20
41,"Chicago, IL",Sheffield&DePaul,,1650,2000,Pricey,"Sheffield&DePaul, Chicago, IL",41.9271746,"Sheffield&DePaul, Chicago, IL",-87.6536427,78,110875,10,3,1,7,10,9,4,1820,98.4,0.093,5.387,0.934,11,1.2,0,0,99.2,0,18.1,54.349,12.1,39,56,67,38,74,34,95,4,0,5,33173,136484,311,0.856,38012,4,0.598,90,0.503,0.784,100,34.783,3.197,255,8952,26.13,1.26
42,"Chicago, IL",Edgewater,,1350,1700,Average,"Edgewater, Chicago, IL",41.9836852,"Edgewater, Chicago, IL",-87.6601141,78,64967,27,5,10,2,10,30,19,1512,97.4,0.11,5.387,0.934,11,1.2,0,88.3,99.2,14,24.3,54.349,15.8,40,28,50,63,80,34,99,14,1,6,24425,108831,311,0.84,27064,20.6,0.814,71,0.503,0.784,100,34.783,2.577,176,9513,27.72,1.9
43,"Chicago, IL",Edgewater Beach,,1364,1822,Average,"Edgewater Beach, Chicago, IL",41.985577,"Edgewater Beach, Chicago, IL",-87.6552269,78,58902,48,25,23,8,10,0,2,955,43.6,0.116,5.387,0.934,11,1.2,0,20,99.2,14,24.2,54.349,14.4,31,38,50,71,68,39,76,7,0,3,13655,94286,311,0.814,22599,13,0.817,82.2,0.503,0.784,100,34.783,2.418,223,10136,31.07,0.54
44,"Chicago, IL",Evanston,,1350,1450,Average,"Evanston, Chicago, IL",42.0450722,"Evanston, Chicago, IL",-87.6876969,78,52117,48,29,5,13,10,3,9,1233,18.1,0.184,5.387,0.934,11,1.2,0,0,99.2,0,20.5,35.629,12,33,56,75,53,79,52,93,6,1,7,22917,62847,311,0.747,35595,10.8,0.909,89,0.503,0.784,100,34.783,2.893,153,9613,26.84,1.39
45,"Chicago, IL",South Chicago,,900,1150,Cheap,"South Chicago, Chicago, IL",41.7396861,"South Chicago, Chicago, IL",-87.5544182,78,28371,27,9,60,0,10,37,31,1210,100,0.157,5.387,0.934,11,1.2,0,0,99.2,15,39.2,54.349,25.2,44,56,33,56,64,28,88,6,0,3,15993,50355,311,0.696,10526,33.7,0.785,62,0.503,0.784,100,34.783,6.707,109,11258,25,1.68
